1;1417;9.900000;177;small
2;884;9.900000;612;small
3;2918;9.900000;122;small
4;1468;9.900000;842;small
5;325;9.900000;1818;small
6;5495;9.900000;1982;small
7;176;9.900000;982;small
8;1073;9.900000;1825;small
9;1630;9.900000;910;small
10;1886;9.900000;437;small
11;5458;9.900000;736;small
12;4796;9.900000;1824;small
13;1901;9.900000;1956;small
14;5400;9.900000;1497;small
15;1127;9.900000;672;small
16;1060;9.900000;2037;small
17;2711;9.900000;1326;small
18;639;9.900000;1650;small
19;2701;9.900000;1253;small
20;1680;9.900000;1304;small
21;4614;9.900000;1539;small
22;867;9.900000;1835;small
23;2728;9.900000;1625;small
24;3500;9.900000;385;small
25;550;9.900000;608;small
26;4836;9.900000;269;small
27;5423;9.900000;254;small
28;3316;9.900000;1338;small
29;3883;9.900000;2008;small
30;274;9.900000;1694;small
31;3771;9.900000;18;small
32;1039;9.900000;1598;small
33;3534;9.900000;628;small
34;4991;9.900000;1863;small
35;5306;9.900000;1874;small
36;3036;9.900000;509;small
37;706;9.900000;1308;small
38;29;9.900000;1469;small
39;258;9.900000;1830;small
40;5053;9.900000;209;small
41;2411;9.900000;367;small
42;2396;9.900000;1059;small
43;2355;9.900000;433;small
44;4321;9.900000;2010;small
45;571;9.900000;1658;small
46;4641;9.900000;360;small
47;1134;9.900000;1449;small
48;1645;9.900000;440;small
49;1358;9.900000;1873;small
50;2671;9.900000;291;small
51;286;9.900000;1319;small
52;1765;9.900000;1659;small
53;4866;9.900000;1497;small
54;1919;9.900000;735;small
55;1900;9.900000;499;small
56;4883;9.900000;2017;small
57;2167;9.900000;1078;small
58;3942;9.900000;767;small
59;2528;9.900000;118;small
60;5007;9.900000;289;small
61;1078;9.900000;940;small
62;5133;9.900000;1339;small
63;843;9.900000;308;small
64;1462;9.900000;1708;small
65;5298;9.900000;434;small
66;5054;9.900000;1466;small
67;4546;9.900000;293;small
68;632;9.900000;2014;small
69;1750;9.900000;1866;small
70;453;9.900000;599;small
71;4490;9.900000;126;small
72;1308;9.900000;1067;small
73;1509;9.900000;1332;small
74;104;9.900000;940;small
75;3565;9.900000;1080;small
76;3827;9.900000;280;small
77;3303;9.900000;1753;small
78;1637;9.900000;1802;small
79;3928;9.900000;421;small
80;795;9.900000;1038;small
81;4080;9.900000;611;small
82;1101;9.900000;209;small
83;235;9.900000;309;small
84;2725;9.900000;1494;small
85;3625;9.900000;322;small
86;409;9.900000;944;small
87;2445;9.900000;1162;small
88;3179;9.900000;1801;small
89;324;9.900000;1595;small
90;1459;9.900000;85;small
91;1670;9.900000;1045;small
92;5494;9.900000;1326;small
93;731;9.900000;785;small
94;875;9.900000;1279;small
95;142;9.900000;302;small
96;1314;9.900000;642;small
97;732;9.900000;931;small
